Full_ID,SppID,Hub,Transect,Mom,Pin,Distance,ptcentdist,max_surveg_length_mm,surveg_mass_g,mat_mass_mg,non_na_count,n_inflor,mean_speed_1m,mean_speed_10cm,mean_prop_speed_pcnt,mean_surveg_length_cm,veg_density_g_msqr,main_stem_length_cm,tot_mat_length_cm,mean_inflor_height_cm,var_inflor_height_cm,rel_inflor_height_svheight
AcalT1M2,cal,A,1,2,1,4.6,0.8,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,2,7.4,10.37,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,3,10.8,13.64,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,4,7.7,4.66,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,5,9.05,5.9,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,6,8.75,5.62,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,7,9.2,6.04,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,8,7.35,4.35,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,9,11.2,14.03,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,10,11.5,14.32,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,11,11.4,14.22,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,12,11.1,13.93,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,13,11.05,7.81,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,14,9.7,6.51,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
AcalT1M2,cal,A,1,2,15,10.1,6.07,410.024,3.64,4.01,1,1,3.802,0.24,7.35,25.86,2.734,13.08,13.08,13.08,NA,50.58
